ImageID,ans
cbc5c6e168e63498590db46022617123f1fe1268.jpg,14
0e72482bf56b3581c081f7da2a6180b8792c7089.jpg,2
b549040c49190cedc41327748aeb197c1670f14d.jpg,14
4f9cb2a045c6d5b9e50ad3459ea7b791eb6e18bc.jpg,14
248428d9a4a5b6229a7081c32851b90cb8d38d0c.jpg,12
7953c2e6e983bad91b89a0e4ad7eb69e6e43e56b.jpg,0
1903db7dcc1262d0441677afa422e6a8371e5b37.jpg,8
441419a874f4d031cd576850b68539ca7d35bedf.jpg,4
388856cd1ef99b1918273a827a75f2aff2478321.jpg,5
795ba8ccc769a3f9da6a897f75df6706b729345b.jpg,3
9028e8c54f80096bf4e43390caf003f64c90e5ce.jpg,14
78900cfc8a2bb5cb69c60bdef92b173a8a48c8ec.jpg,3
cba23bf8b02a8ddc470db8799fef62220819737e.jpg,6
d3921eae9f9a45d89f0bd1ea0e71354178481245.jpg,3
4d796a1ccf67a49c465e2b6b79a2caf8228adbca.jpg,0
69ad31adcc3e6e8de7af886e970233fa61699045.jpg,5
b1b1aa65544324d9ebc89b3deb4a714f4d1d7ea3.jpg,2
6aa8e1282c5303e18101e3dede784dd1f5c076a0.jpg,2
7665a0a126eec039d2c8baf9c6eedc004738c128.jpg,8
91598d7dad0122459e004ecd8a4e745acbd63101.jpg,5
d352bb22eca23e75e710b427ae831a867dd37bfb.jpg,12
0401671e6a939afe97d6c30bc820fbfe9519286a.jpg,2
6ed93c0c3aa7ca9f0bb7e6b53a99aaa0a3609d50.jpg,2
50dda278ed4e5c43ab5a99592808f11027afa240.jpg,12
5ca8adbab5a39b3c7e725782f98d199202c589dc.jpg,2
a945a8c50f05708c42839692219bd1963672154a.jpg,0
359acb7465396d70b6957be3a4cd503a7aa8b5de.jpg,16
b188cd918519b3dc486ec7a0b04d268f6f262021.jpg,2
0abc5c0454095bf4519bd5c1fcbc0924fbce65d2.jpg,2
14e53aafa9cc2e32f1dc10b83c5183488e0cb080.jpg,0
27aaee870ff9b03c23d6b9f163aba027a06032c6.jpg,0
fa025619390a5097dafb1fe3601dc6dec4644bce.jpg,5
c9ba7099501f4088602606671dd71fd76a2adee5.jpg,3
4702037fc73744daef1a4a6253895886f86808b8.jpg,4
e7d4a815cbf2dd60aaf5f764be67f656cf7e5b19.jpg,2
c9649b4efc18ea0e1d6e16bd23cb8ccddfaf0d0b.jpg,0
0906805463eda250aedc1c43e4db25075c1244be.jpg,3
acfb5e9c18ede13e4cdc7da0a15db777a490d782.jpg,8
d67f11372df1ff081aa8437da1acf73419a85782.jpg,14
53599d652f6253baa02940b895620f147a2327f7.jpg,6
c4b59a685cbb0bf9a275f6f757e509eb47e3b97b.jpg,2
0da2dac9da3f797adfbdeaed999d54935a0a1020.jpg,1
69a10709d7deff24b620309cab49766fe5054f2c.jpg,8
4d72365135eb4bee184687ebc0493304b70da612.jpg,3
c6103af816b1b84dda25210c3f297e69a498735d.jpg,4
a045a778e75e40e50e3a0d3baa372c527b095bcf.jpg,2
26402638752e33697f3f2b12028853f8f39d7abb.jpg,4
d22e1488b1e853a1882ba4d5ed0357e872b4dbd2.jpg,2
954ba125374aa55139e313e3f8d5428ad16d1218.jpg,0
999d9b0ea9f6e9be5bfe05f9bc1970ae1cb94ae2.jpg,1
7e210495c2b188be33d5a385f8ce1265b0697935.jpg,5
52d5422595abce4bfec2a5da7d9ad0918ba79030.jpg,9
6d2979fe1606e576ee88091de8d6d59aeac5d2b7.jpg,4
3143f6f6245d690d1350b4982714cdb35c717a66.jpg,1
f598446f60a9c89e762d59f5d08799e949f7b5d7.jpg,1
beeca5084fcbf1ff137be0155591486630d0989c.jpg,11
382ed31ab97cec6ba52051a1af0686bfd632971a.jpg,2
5a09856a362270de5770bf6a081a25c5f92a5f42.jpg,0
46aeff0a8d26d074bf0e2c49bb91194af41ea717.jpg,3
55b432a274f910906b7d48e766762e9278fbfaa4.jpg,2
01ed60df34a15534443de81f062bfcdd9b373f8b.jpg,1
35fb9aa3d63a0387dbad91e5d01a50a0e3c0bfb6.jpg,2
d8c5517ee11a8a22388cfca4dc0430f4df35cd75.jpg,1
7d95e4583e6731b838b2168f2ab87cee756a3d92.jpg,15
e2e773463872aefd06570bd721b3551deaf5a0fc.jpg,2
cfa25282abbacb39ca5d3f71c2e05089547b8dfe.jpg,0
100918d93f093cf3100120ab6979ddcf9ec10398.jpg,9
9a2c80e9510270699259f2e4ae4105d4a2ac4384.jpg,4
04f3341decdf3c64aca46494e2a005ca2e8ea6e9.jpg,2
4197121c1118aabd0d98469b6b5959490138cef4.jpg,5
6de97a8265ba303a2f62bc05a43fdc4ffb6ab719.jpg,7
3086e7dea7b539983a3db16498653f7a6f4d3779.jpg,3
da61ea92b70a320fe08673a5a393fe831ded46b1.jpg,2
7ac52fc8518b46ee0f46c4bbee47f75dd86bd4c9.jpg,2
b9f82f3a05e114e52303e69e107e2bed455c4ea7.jpg,2
74b5b92a864c29f61e8d2397d16476afa3452401.jpg,0
e09765a7f088ee5d82a251adb80cd8dfa1ef157f.jpg,4
a711ce5ee7771ac21c35be99e17c7d58b5a7447a.jpg,2
d8fc134bfa5cc09f4a67ece5e403470bd2d57e9a.jpg,4
6263c0f10c00dbda81f006205a0f3082a0bd62bf.jpg,4
4e8d0b307871f910bfea3a544da6be8e9a65fd2b.jpg,2
57df36546603b4165c421db4b9e686fcb0eb509e.jpg,2
22234357d9b91539349bfd348f4efaae53db8eee.jpg,0
d5179f4cef8aa3b474a9e6cc62adb60b875faa0e.jpg,1
2dc9be09033d78a890ebbbfa4c1a4a2f637e5fd4.jpg,0
909ecfa0f7cb126731ed7c5d6f960e53164ee5c7.jpg,16
9b3973f7f97d86acf0ceec48052ae2348df79e4a.jpg,3
6513a53602dc09afbe293379e0d7e0f9c6af7abe.jpg,16
f95ad6530f8b53c709f5d8c9526b1384944a3d57.jpg,4
50a898d2ba3e3e12d482351ef5d766318ec706f5.jpg,2
c4b50f53423a680325dc552f645b6ca8a54c09d5.jpg,12
4a7eeee4bacfe6a7ab8d1622b75f665f75f4cbac.jpg,10
5dd22147a58a47f6ce3d2f7c9381c428c78777f2.jpg,2
a0672e9d66779e64996d4c7247f410c42d753e82.jpg,2
13a09b402a9bc428c549c8c6dc48a9a67cd888b0.jpg,0
6503789ae2d9d5faefe78e604b2d770d8470b537.jpg,2
b6c3810a5830fe5181bb449d3f67980862589075.jpg,2
5712c652aba34f4ccf3c16b3b2e1d9ca9f4674d3.jpg,2
e21b1cde9649f89334efa4a173e7e865784a7deb.jpg,10
94cde3ef6bf7fa424930de397d3a4d54ab3f549c.jpg,0
3db11c6181e5a4bc097bcd7ba448bac95cb127ff.jpg,10
c34aa4ff8fca947b2247d05f6ff4368230546934.jpg,2
3a2e3b9ae3b8473b2ce43fb89b3da866eb12662c.jpg,2
de5cdd3277079d5cf73eb82bc3c8178cbbf8d481.jpg,2
281ee38d3337dcbfec08da68ee49af89aa184dde.jpg,0
d8c0d7ae6cf662506012135e730b855c321dbc8f.jpg,3
58c63f7070a3d66b2269b3639df4daf36fefd5a7.jpg,2
d3d3f99885b4f137a4a956c496c1b2f8b0e5590d.jpg,12
9738f24e04e92530b8ef17da47926d1a577f68ec.jpg,4
ab655c7ac4849f19a2812d46e0f2453fe2eef05c.jpg,4
4e9d4ff471944284f08e4864a74672cdd91be72d.jpg,0
b3a942f75d230beb7be5a955955be4bc274e45d6.jpg,16
3f4e62fb34b13b994c9a793054955de94c6941f5.jpg,0
48aeff9cc569678336e908389e204f9e51bb2ac3.jpg,0
d465ebee7f2ea57529fbf5503bf1ad42024ac3d2.jpg,5
cf56666b65acca83de048fd058f48e4108950d63.jpg,13
4e4808f4af3b8d49a247baef7ce530a9bc5b6829.jpg,10
212dc2eefa9188d3aba93d99f383c8f46fa5380f.jpg,5
add7fb0e1555edd41a563b68b519f0f151e09b39.jpg,3
18d1611138d046b92058e43bd2766904ae948a87.jpg,3
7aefd65eebe02f5026cd913f701279cd6b6bf4d8.jpg,3
faf8f64456dc225292577404562ac5fffe87f421.jpg,9
723e7d65d5851c729877957ab9b7176562627445.jpg,11
c2788f8d903557805c8b4ee56319d116f051b71f.jpg,5
d58fdb2ece4e376de01fbc647e83c290d3dc4e88.jpg,15
709a066f46ef6c47e606df4034343e7f2218c38c.jpg,1
8ed3bc8ac7cd475f6d1e714d2d2f3483c248e3cd.jpg,2
cabc501b287599b34e97aa52d75deb99424ac8e0.jpg,14
19d6e920a1fc70f0e2170fa21fc87db968e2acf0.jpg,0
b9022137c7715d09b491dc9da5bd67bf4d9f4952.jpg,14
0860028497ed66441cd7af7c639cecd9828557b7.jpg,4
f9eb6c97942c00d996da7db0e76508567f22e4b8.jpg,0
162526f43e907db7b969e764e6ec6576db449ab4.jpg,8
25fa950858d5cd8755c2c9720bdf8502d9c29c2b.jpg,3
09d07eb71fd086ae417e1a9cae02ef0d26c79d75.jpg,3
d5b1bcfcedcd60be28470950845de42c52c93560.jpg,13
97505a65197442a2c23302a9567778332da65119.jpg,2
263a9acde9c66e73c088350c6d94edb55223e50e.jpg,14
